date,stream,site_group,gage_agency,gage_number,statistic,value
1999-01-17,feather river,upper feather lfc,interpolated,interpolated,max,6.3387556667478835
1999-01-17,feather river,upper feather lfc,interpolated,interpolated,min,7.018796346792827
1999-01-18,feather river,upper feather lfc,interpolated,interpolated,mean,7.321148452912787
1999-01-18,feather river,upper feather lfc,interpolated,interpolated,max,6.791829077071673
1999-01-18,feather river,upper feather lfc,interpolated,interpolated,min,7.2192971761042735
1999-01-19,feather river,upper feather lfc,interpolated,interpolated,mean,7.213503766221558
1999-01-19,feather river,upper feather lfc,interpolated,interpolated,max,6.56610715131357
1999-01-19,feather river,upper feather lfc,interpolated,interpolated,min,7.219709581479117
1999-01-20,feather river,upper feather lfc,interpolated,interpolated,mean,7.213946508500744
1999-01-20,feather river,upper feather lfc,interpolated,interpolated,max,6.5666503375827645
1999-01-20,feather river,upper feather lfc,interpolated,interpolated,min,7.220121986853961
1999-01-21,feather river,upper feather lfc,interpolated,interpolated,mean,6.89012696386869
1999-01-21,feather river,upper feather lfc,interpolated,interpolated,max,6.3409284118246605
1999-01-21,feather river,upper feather lfc,interpolated,interpolated,min,6.820357544355597
1999-01-22,feather river,upper feather lfc,interpolated,interpolated,mean,6.890569706147875
1999-01-22,feather river,upper feather lfc,interpolated,interpolated,max,6.341471598093855
1999-01-22,feather river,upper feather lfc,interpolated,interpolated,min,6.82076994973044
1999-01-23,feather river,upper feather lfc,interpolated,interpolated,mean,7.107187306367885
1999-01-23,feather river,upper feather lfc,interpolated,interpolated,max,6.568279896390347
1999-01-23,feather river,upper feather lfc,interpolated,interpolated,min,7.021270779041887
1999-01-24,feather river,upper feather lfc,interpolated,interpolated,mean,6.567192903795005
1999-01-24,feather river,upper feather lfc,interpolated,interpolated,max,6.116292858604946
1999-01-24,feather river,upper feather lfc,interpolated,interpolated,min,6.42141791260692
1999-01-25,feather river,upper feather lfc,interpolated,interpolated,mean,6.351460788133364
1999-01-25,feather river,upper feather lfc,interpolated,interpolated,max,5.890570932846843
1999-01-25,feather river,upper feather lfc,interpolated,interpolated,min,6.221741894045159
