week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
26,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,20.38966241460339
26,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.967689908131316
27,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,21.946175963067052
27,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.03964210140394
27,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.132647882419924
28,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,21.94555014363577
28,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.256406930998928
28,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,15.854524896332295
29,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,22.606530932634143
29,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.71254171296528
29,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.6870990080658
30,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,22.275571173561495
30,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.75521930447199
30,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.686650296433456
31,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,23.26726139386
31,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,20.38544132452662
31,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.963875859256397
32,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,23.267073648030618
32,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,20.101705344617823
32,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.684518916179826
33,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,21.612775508212408
33,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.208664031400087
33,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,16.40583504055177
34,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,20.950793408123985
34,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.642036289597854
34,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,15.849252534652262
35,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,20.619583321278824
35,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.14069126207872
35,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,15.84846728929566
36,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,18.964972271744976
36,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.70362732983514
36,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.180514618126503
37,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,19.956787655929737
37,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.507936587978037
37,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.73586316703707
38,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,20.94885336788701
38,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.486333084209203
38,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,15.568773812494832
39,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,18.96397096065493
39,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.071030056726652
39,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,14.734180498415782
40,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,19.29430490029629
40,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.30955579108267
40,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,15.010845171698293
41,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,18.301550786964604
41,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,15.654882811228749
41,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,13.064881692349596
42,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,16.316418051960007
42,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.827124212294109
42,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,13.064320802809169
43,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,15.323726520571448
43,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.694712946705001
43,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.951604502642487
44,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,14.330596915580996
44,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.041041585858634
44,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,11.395246352559152
45,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,13.999762320394606
45,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,12.604979272622604
45,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.83843949084347
46,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,11.683920154089872
46,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.449805483264905
46,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,9.170262463858142
47,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,11.02156256234268
47,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.253113122400249
47,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,8.892251655678601
48,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.675109718843352
48,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.405596856719683
48,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.003060931407818
49,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,11.68229302356854
49,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.969534543483656
49,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,9.724040522055503
50,2000,yuba river,interpolated,interpolated,yuba river,temperature,max,12.012877290982416
50,2000,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.338625706405875
50,2000,yuba river,interpolated,interpolated,yuba river,temperature,min,10.55661463378901
