date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-09-25,6520,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-26,6541,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-27,6002,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-28,5012,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-29,4032,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-09-30,3112,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-01,2967,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-02,2968,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-03,2968,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-04,2938,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-05,2938,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-06,2968,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-07,2978,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-08,2978,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-09,2978,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-10,2968,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-11,2948,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-12,3128,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-13,2898,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-14,2888,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-15,2918,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-16,2938,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-17,2909,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-18,2830,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-19,2860,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-20,2890,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-10-21,2954,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
