stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather hfc,515,2011-01-13,13:00:00,upper feather hfc,release_100m above falls,798,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,516,2011-01-17,12:30:00,upper feather hfc,release_100m above falls,994,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,517,2011-01-19,11:00:00,upper feather hfc,release_100m above falls,983,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,518,2011-01-24,10:20:00,upper feather hfc,release_100m above falls,999,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,519,2011-01-26,11:30:00,upper feather hfc,not recorded,1015,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,520,2011-01-27,14:30:00,upper feather hfc,not recorded,1010,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,521,2011-01-31,11:55:00,upper feather hfc,release_100m above falls,999,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,522,2011-02-02,12:00:00,upper feather hfc,not recorded,500,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,523,2011-02-07,12:10:00,upper feather hfc,not recorded,1000,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,524,2011-02-23,11:30:00,upper feather hfc,not recorded,500,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,525,2011-03-01,15:15:00,upper feather hfc,not recorded,485,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,526,2011-03-03,12:00:00,upper feather hfc,release_100m above falls,993,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,527,2011-03-06,11:45:00,upper feather hfc,not recorded,480,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather hfc,528,2011-03-07,10:53:00,upper feather hfc,not recorded,1293,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
